assetId,authorId,name,category,publishDate,amount,price,description
1,10,Lamprotornis nitens,Painting,2023-07-03,5.7665,19675.298,Aliquam erat volutpat. In congue.
2,5,Phoenicopterus chilensis,Digital,2023-04-20,2.6437,9020.3044,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
3,9,Ceryle rudis,Photograph,2023-11-01,9.5788,32682.8656,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
4,1,Melursus ursinus,Painting,2023-08-15,2.9997,10234.9764,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
5,8,Lutra canadensis,Painting,2023-06-28,4.9639,16936.8268,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
6,7,Nyctanassa violacea,Painting,2024-02-18,9.4137,32119.5444,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
7,6,Alligator mississippiensis,Digital,2023-06-18,9.7461,33253.6932,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.
8,2,Stenella coeruleoalba,Painting,2024-02-18,9.9245,33862.394,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
9,3,Cebus albifrons,Painting,2023-03-12,4.6471,15855.9052,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
10,4,Cygnus atratus,Painting,2023-10-28,9.9486,33944.6232,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
11,6,Eudromia elegans,Photograph,2023-06-26,2.9416,10036.7392,Nulla nisl. Nunc nisl.
12,7,Martes pennanti,Painting,2023-04-20,0.2661,907.9332,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
13,3,Butorides striatus,Photograph,2023-10-10,5.9221,20206.2052,In quis justo. Maecenas rhoncus aliquam lacus.
14,9,Varanus albigularis,Photograph,2023-09-07,8.3291,28418.8892,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio."
15,10,Bugeranus caruncalatus,Photograph,2023-11-27,0.0454,154.9048,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
16,9,Merops nubicus,Digital,2024-02-06,0.3961,1351.4932,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
17,3,Redunca redunca,Digital,2023-03-31,1.8411,6281.8332,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
18,10,Climacteris melanura,Painting,2023-10-14,7.1604,24431.2848,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
19,4,Leipoa ocellata,Photograph,2023-06-20,2.4407,8327.6684,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus."
20,6,Dendrocygna viduata,Painting,2024-01-24,5.7263,19538.1356,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
21,7,Recurvirostra avosetta,Photograph,2023-05-21,4.1612,14198.0144,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
22,5,Francolinus leucoscepus,Photograph,2023-07-01,7.4861,25542.5732,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
23,1,Ardea cinerea,Painting,2023-09-09,5.2716,17986.6992,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.
24,2,Tadorna tadorna,Digital,2023-04-20,6.6807,22794.5484,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
25,8,Anitibyx armatus,Photograph,2023-03-21,4.5614,15563.4968,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.
26,3,Podargus strigoides,Photograph,2023-06-05,1.6454,5614.1048,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
27,1,Hippopotamus amphibius,Painting,2024-02-05,3.5802,12215.6424,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.
28,4,Herpestes javanicus,Photograph,2023-12-12,9.3822,32012.0664,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
29,9,unavailable,Painting,2023-04-07,2.0238,6905.2056,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat."
30,6,Rangifer tarandus,Digital,2023-09-03,8.5841,29288.9492,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.
31,8,Zalophus californicus,Digital,2024-02-19,4.1075,14014.79,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.
32,9,Ceratotherium simum,Photograph,2023-07-26,4.6681,15927.5572,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.
33,6,Anhinga rufa,Painting,2024-02-15,4.2651,14552.5212,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum."
34,7,Cordylus giganteus,Photograph,2023-08-18,1.2443,4245.5516,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
35,1,Ictonyx striatus,Photograph,2023-08-12,2.2026,7515.2712,Morbi a ipsum. Integer a nibh. In quis justo.
36,2,Marmota caligata,Photograph,2023-05-01,0.6718,2292.1816,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst."
37,5,Chordeiles minor,Digital,2024-02-17,4.7007,16038.7884,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.
38,10,Manouria emys,Photograph,2023-09-08,5.8467,19948.9404,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
39,4,Haliaetus leucogaster,Painting,2023-11-14,4.5411,15494.2332,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
40,3,Tachyglossus aculeatus,Painting,2023-10-26,2.5076,8555.9312,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
41,5,Alces alces,Painting,2024-02-18,5.4294,18525.1128,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque."
42,4,Pelecans onocratalus,Digital,2023-12-04,6.7985,23196.482,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
43,7,Loris tardigratus,Photograph,2023-12-05,2.5293,8629.9716,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.
44,3,Ammospermophilus nelsoni,Digital,2023-03-18,2.4099,8222.5788,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat."
45,6,Fregata magnificans,Painting,2023-07-01,0.7897,2694.4564,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.
46,4,Phalaropus fulicarius,Painting,2023-06-17,2.8023,9561.4476,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
47,1,Equus hemionus,Digital,2023-11-12,0.3968,1353.8816,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
48,3,Equus burchelli,Painting,2023-07-21,7.4505,25421.106,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti."
49,2,Tayassu tajacu,Digital,2023-09-19,0.7022,2395.9064,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
50,10,Tamiasciurus hudsonicus,Photograph,2023-09-24,9.4258,32160.8296,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.
51,6,Trachyphonus vaillantii,Digital,2023-09-23,1.9868,6778.9616,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.
52,9,Sciurus vulgaris,Digital,2024-01-15,3.9359,13429.2908,Morbi non quam nec dui luctus rutrum. Nulla tellus.
53,5,Lorythaixoides concolor,Digital,2023-10-11,8.2447,28130.9164,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.
54,8,Dasyurus viverrinus,Digital,2024-01-20,4.9938,17038.8456,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
55,7,Bison bison,Photograph,2023-11-23,5.8624,20002.5088,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
56,6,Choloepus hoffmani,Digital,2023-10-02,0.9469,3230.8228,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.
57,7,Felis concolor,Painting,2023-05-02,4.1099,14022.9788,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue."
58,9,Dasyurus viverrinus,Digital,2023-11-30,9.1579,31246.7548,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
59,2,Nasua narica,Painting,2023-08-26,4.2046,14346.0952,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
60,1,Macropus robustus,Photograph,2023-12-18,5.9933,20449.1396,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
61,1,Larus dominicanus,Painting,2023-09-07,2.8824,9834.7488,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
62,6,Felis silvestris lybica,Digital,2023-08-20,1.1024,3761.3888,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
63,7,Cereopsis novaehollandiae,Photograph,2023-08-20,5.8326,19900.8312,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.
64,9,Megaderma spasma,Digital,2024-02-01,3.1956,10903.3872,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
65,3,Trichosurus vulpecula,Photograph,2023-04-11,4.6166,15751.8392,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
66,2,Ninox superciliaris,Painting,2023-04-05,4.6775,15959.63,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.
67,10,unavailable,Digital,2023-09-13,1.5974,5450.3288,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus."
68,4,Alligator mississippiensis,Digital,2023-08-04,2.1962,7493.4344,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
69,5,Choloepus hoffmani,Photograph,2023-05-25,2.8059,9573.7308,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
70,8,Hydrochoerus hydrochaeris,Painting,2023-07-20,1.5006,5120.0472,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
71,5,Lepilemur rufescens,Painting,2023-10-01,4.7989,16373.8468,In eleifend quam a odio. In hac habitasse platea dictumst.
